state,demo_age_5_17,demo_age_17_
Andaman and Nicobar Islands,617,6629
Andhra Pradesh,321148,1974434
Arunachal Pradesh,5783,30660
Assam,84480,928098
Bihar,380023,4434327
Chandigarh,13133,70228
Chhattisgarh,165207,1840231
Dadra and Nagar Haveli and Daman and Diu,1923,10281
Delhi,175535,1263399
Goa,3275,31845
Gujarat,208474,1615853
Haryana,139314,1026826
Himachal Pradesh,19424,129790
Jammu and Kashmir,57873,349329
Jharkhand,99376,1301813
Karnataka,264981,1430304
Kerala,61064,683888
Ladakh,1375,4360
Lakshadweep,170,1006
Madhya Pradesh,407098,2505840
Maharashtra,273322,4781280
Manipur,41464,260085
Meghalaya,8426,78952
Mizoram,5302,36604
Nagaland,4314,32477
Odisha,147499,964566
Puducherry,4696,28067
Punjab,56866,825029
Rajasthan,257224,2560391
Sikkim,1555,18785
Tamil Nadu,315638,1896590
Telangana,242259,1387649
Tripura,11791,126222
Uttar Pradesh,790308,7752020
Uttarakhand,49926,413716
West Bengal,242561,3630173
